theta max(rad),theta settling time(s),x final value(m),x settling time(s),l final value(m),l settling time(s),lambda 1,k,lambda 2,alpha 1
0.00461,71.04,4.881,-0.01,1.12,-0.01,0.05,0.05,0.05,0.5
0.00557,65.05,4.995,72.96,1.119,-0.01,0.1,0.05,0.05,0.5
0.00512,65.03,4.999,61.06,1.118,-0.01,0.15,0.05,0.05,0.5
0.00398,68.03,5.0,60.33,1.119,-0.01,0.2,0.05,0.05,0.5
0.00416,74.34,5.0,64.62,1.118,-0.01,0.25,0.05,0.05,0.5
0.00401,80.0,4.999,70.88,1.119,-0.01,0.3,0.05,0.05,0.5
0.00393,79.24,4.994,78.41,1.119,-0.01,0.35,0.05,0.05,0.5
0.0033,56.92,4.843,-0.01,1.118,-0.01,0.4,0.05,0.05,0.5
0.00317,57.03,4.32,-0.01,1.118,-0.01,0.45,0.05,0.05,0.5
0.00305,57.12,3.9,-0.01,1.118,-0.01,0.5,0.05,0.05,0.5
0.00294,57.19,3.553,-0.01,1.12,-0.01,0.55,0.05,0.05,0.5
0.00284,58.29,3.264,-0.01,1.12,-0.01,0.6,0.05,0.05,0.5
0.00274,58.39,3.017,-0.01,1.119,-0.01,0.65,0.05,0.05,0.5
0.00265,58.47,2.806,-0.01,1.119,-0.01,0.7,0.05,0.05,0.5
0.00256,59.58,2.622,-0.01,1.119,-0.01,0.75,0.05,0.05,0.5
0.00248,59.67,2.461,-0.01,1.119,-0.01,0.8,0.05,0.05,0.5
0.0024,60.75,2.318,-0.01,1.119,-0.01,0.85,0.05,0.05,0.5
0.00233,60.87,2.191,-0.01,1.119,-0.01,0.9,0.05,0.05,0.5
0.00226,60.95,2.077,-0.01,1.119,-0.01,0.95,0.05,0.05,0.5
0.0022,62.08,1.975,-0.01,1.119,-0.01,1.0,0.05,0.05,0.5
0.00923,67.58,4.897,-0.01,1.103,-0.01,0.05,0.1,0.05,0.5
0.00874,60.87,4.996,68.23,1.106,-0.01,0.1,0.1,0.05,0.5
0.01116,63.38,5.0,49.91,1.106,-0.01,0.15,0.1,0.05,0.5
0.0094,61.75,5.001,43.55,1.103,-0.01,0.2,0.1,0.05,0.5
0.00785,63.12,5.0,42.35,1.105,-0.01,0.25,0.1,0.05,0.5
0.00798,65.22,5.0,43.08,1.104,-0.01,0.3,0.1,0.05,0.5
0.00871,68.22,5.0,45.25,1.106,-0.01,0.35,0.1,0.05,0.5
0.00764,71.0,5.0,48.58,1.104,-0.01,0.4,0.1,0.05,0.5
0.00724,73.11,5.0,51.91,1.103,-0.01,0.45,0.1,0.05,0.5
0.00718,77.34,5.0,55.87,1.102,-0.01,0.5,0.1,0.05,0.5
0.00714,79.84,5.0,60.02,1.106,-0.01,0.55,0.1,0.05,0.5
0.00708,79.51,5.0,64.18,1.105,-0.01,0.6,0.1,0.05,0.5
0.00698,79.84,5.0,68.59,1.104,-0.01,0.65,0.1,0.05,0.5
0.00685,79.23,5.0,73.17,1.104,-0.01,0.7,0.1,0.05,0.5
0.00673,79.8,4.998,77.86,1.103,-0.01,0.75,0.1,0.05,0.5
0.00497,61.8,4.921,-0.01,1.103,-0.01,0.8,0.1,0.05,0.5
0.00482,62.89,4.636,-0.01,1.103,-0.01,0.85,0.1,0.05,0.5
0.00467,62.98,4.382,-0.01,1.102,-0.01,0.9,0.1,0.05,0.5
0.00453,64.07,4.155,-0.01,1.102,-0.01,0.95,0.1,0.05,0.5
0.00441,64.18,3.95,-0.01,1.102,-0.01,1.0,0.1,0.05,0.5
0.01388,70.0,4.902,-0.01,1.098,-0.01,0.05,0.15,0.05,0.5
0.01637,65.16,4.997,66.19,1.1,-0.01,0.1,0.15,0.05,0.5
0.01248,60.53,5.001,46.16,1.101,-0.01,0.15,0.15,0.05,0.5
0.01188,52.91,5.0,38.93,1.101,-0.01,0.2,0.15,0.05,0.5
0.01134,60.27,4.999,35.93,1.103,-0.01,0.25,0.15,0.05,0.5
0.01204,62.59,5.0,34.3,1.097,-0.01,0.3,0.15,0.05,0.5
0.01212,64.77,5.0,34.87,1.099,-0.01,0.35,0.15,0.05,0.5
0.01118,65.03,5.0,36.22,1.101,-0.01,0.4,0.15,0.05,0.5
0.0098,66.26,5.0,37.77,1.097,-0.01,0.45,0.15,0.05,0.5
0.0092,67.81,5.0,39.99,1.101,-0.01,0.5,0.15,0.05,0.5
0.00984,70.55,5.0,42.53,1.098,-0.01,0.55,0.15,0.05,0.5
0.01103,73.25,5.0,44.79,1.097,-0.01,0.6,0.15,0.05,0.5
0.01075,75.88,5.0,47.52,1.097,-0.01,0.65,0.15,0.05,0.5
0.00963,77.67,5.0,50.38,1.102,-0.01,0.7,0.15,0.05,0.5
0.00985,79.65,5.0,53.39,1.101,-0.01,0.75,0.15,0.05,0.5
0.00994,80.0,5.0,56.38,1.1,-0.01,0.8,0.15,0.05,0.5
0.00945,79.67,5.0,59.39,1.099,-0.01,0.85,0.15,0.05,0.5
0.00955,79.45,5.0,62.45,1.099,-0.01,0.9,0.15,0.05,0.5
0.0093,79.31,5.0,65.46,1.098,-0.01,0.95,0.15,0.05,0.5
0.00922,79.25,5.0,68.55,1.097,-0.01,1.0,0.15,0.05,0.5
0.02024,71.69,4.899,-0.01,1.101,-0.01,0.05,0.2,0.05,0.5
0.01756,57.7,4.996,66.05,1.097,-0.01,0.1,0.2,0.05,0.5
0.02247,65.12,4.999,45.8,1.093,-0.01,0.15,0.2,0.05,0.5
0.01591,62.55,5.0,36.54,1.099,-0.01,0.2,0.2,0.05,0.5
0.01645,62.28,5.0,32.5,1.098,-0.01,0.25,0.2,0.05,0.5
0.02209,66.29,5.0,30.13,1.098,-0.01,0.3,0.2,0.05,0.5
0.01387,62.44,5.001,29.57,1.094,-0.01,0.35,0.2,0.05,0.5
0.01434,63.65,4.999,30.45,1.098,-0.01,0.4,0.2,0.05,0.5
