theta max(rad),theta settling time(s),x final value(m),x settling time(s),l final value(m),l settling time(s),lambda 1,k,lambda 2,alpha 1
0.00582,90.75,9.992,151.28,1.005,144.49,0.05,0.05,0.05,0.5
0.00461,81.83,10.0,94.39,1.008,147.5,0.1,0.05,0.05,0.5
0.00416,89.64,10.0,90.95,1.008,145.18,0.15,0.05,0.05,0.5
0.0042,103.06,10.0,100.44,1.008,145.88,0.2,0.05,0.05,0.5
0.00411,119.98,10.0,114.65,1.008,143.49,0.25,0.05,0.05,0.5
0.00402,137.69,10.0,130.93,1.008,146.66,0.3,0.05,0.05,0.5
0.00394,152.84,9.998,148.46,1.007,145.43,0.35,0.05,0.05,0.5
0.00387,171.64,9.999,166.72,1.002,144.56,0.4,0.05,0.05,0.5
0.00289,73.06,9.876,-0.01,1.001,143.91,0.45,0.05,0.05,0.5
0.00276,73.14,8.9,-0.01,1.001,143.43,0.5,0.05,0.05,0.5
0.00264,74.27,8.099,-0.01,1.003,147.89,0.55,0.05,0.05,0.5
0.00253,74.36,7.43,-0.01,1.003,147.47,0.6,0.05,0.05,0.5
0.00243,74.43,6.864,-0.01,1.002,147.12,0.65,0.05,0.05,0.5
0.00234,75.56,6.377,-0.01,1.002,146.83,0.7,0.05,0.05,0.5
0.00225,75.64,5.955,-0.01,1.002,146.58,0.75,0.05,0.05,0.5
0.00217,76.76,5.586,-0.01,1.002,146.36,0.8,0.05,0.05,0.5
0.00209,76.86,5.259,-0.01,1.002,146.17,0.85,0.05,0.05,0.5
0.00206,77.96,4.969,-0.01,1.002,146.0,0.9,0.05,0.05,0.5
